tmdb_id,title,director,top_cast,genres,release_date,budget
1056360,American Fiction,Cord Jefferson,"Jeffrey Wright, John Ortiz, Erika Alexander, Leslie Uggams, Sterling K. Brown, Skyler Wright, John Ales, Patrick Fischler, Carmen Cusack, Joseph Marrella, Stephen Burrell, Issa Rae, Nicole Kempskie, Becki Dennis, Tracee Ellis Ross","Comedy, Drama",2023-11-10,16000000
168672,American Hustle,David O. Russell,"Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner, Jennifer Lawrence, Louis C.K., Jack Huston, Michael Peña, Shea Whigham, Alessandro Nivola, Elisabeth Röhm, Paul Herman, Saïd Taghmaoui, Matthew Russell, Thomas Matthews","Drama, Crime",2013-12-03,40000000
190859,American Sniper,Clint Eastwood,"Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis, Ben Reed, Elise Robertson, Keir O'Donnell, Luke Sunshine, Kevin Lacz, Troy Vincent, Brandon Salgado Telis, Chance Kelly, Marnette Patterson, Billy Miller, Leonard Roberts","War, Action",2014-12-25,58800000
86837,Amour,Michael Haneke,"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud, William Shimell, Ramon Agirre, Rita Blanco, Carole Franck, Dinara Drukarova, Laurent Capelluto, Jean-Michel Monroc, Suzanne Schmidt, Damien Jouillerot, Walid Afkir","Drama, Romance",2012-09-20,8900000
915935,Anatomy of a Fall,Justine Triet,"Sandra Hüller, Swann Arlaud, Milo Machado-Graner, Antoine Reinartz, Samuel Theis, Jehnny Beth, Saadia Bentaïeb, Camille Rutherford, Anne Rotger, Sophie Fillières, Julien Comte, Pierre-François Garel, Savannah Rol, Iliès Kadri, Vincent Courcelle-Labrousse","Thriller, Mystery, Crime",2023-08-23,6700000
44629,Animal Kingdom,David Michôd,"Ben Mendelsohn, Joel Edgerton, Guy Pearce, Luke Ford, Jacki Weaver, Sullivan Stapleton, James Frecheville, Dan Wyllie, Anthony Hayes, Laura Wheelwright, Mirrah Foulkes, Justin Rosniak, Susan Prior, Clayton Jacobson, Anna Lise Phillips","Crime, Drama",2010-06-03,5000000
1064213,Anora,Sean Baker,"Mikey Madison, Mark Eydelshteyn, Yura Borisov, Karren Karagulian, Vache Tovmasyan, Luna Sofía Miranda, Lindsey Normington, Darya Ekamasova, Aleksey Serebryakov, Anton Bitter, Ivy Wolk, Vlad Mamai, Maria Tichinskaya, Paul Weissman, Emily Weider","Drama, Comedy, Romance",2024-10-14,6000000
580175,Another Round,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Magnus Millang, Lars Ranthe, Maria Bonnevie, Helene Reingaard Neumann, Susse Wold, Magnus Sjørup, Silas Cornelius Van, Albert Rudbeck Lindhardt, Martin Greis-Rosenthal, Frederik Winther Rasmussen, Aksel Vedsegaard, Gustav Sigurth Jeppesen, Freja Bella Lindahl","Comedy, Drama",2020-09-24,5150000
68734,Argo,Ben Affleck,"Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman, Victor Garber, Tate Donovan, Clea DuVall, Scoot McNairy, Rory Cochrane, Christopher Denham, Kerry Bishé, Kyle Chandler, Chris Messina, Željko Ivanek, Titus Welliver","Drama, Thriller",2012-10-11,44500000
329865,Arrival,Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Mark O'Brien, Tzi Ma, Abigail Pniowsky, Julia Scarlett Dan, Jadyn Malone, Frank Schorpion, Lucas Chartier-Dessert, Christian Jadah, Lucy Van Oldenbarneveld, Andrew Shaver, Pat Kiely","Drama, Science Fiction, Mystery",2016-11-10,47000000
491472,At Eternity's Gate,Julian Schnabel,"Willem Dafoe, Rupert Friend, Oscar Isaac, Mads Mikkelsen, Mathieu Amalric, Emmanuelle Seigner, Niels Arestrup, Anne Consigny, Amira Casar, Vincent Perez, Lolita Chammah, Stella Schnabel, Alexis Michalik, Vladimir Consigny, Arthur Jacquin","Drama, History",2018-11-15,0
152737,August: Osage County,John Wells,"Meryl Streep, Julia Roberts, Julianne Nicholson, Juliette Lewis, Ewan McGregor, Margo Martindale, Abigail Breslin, Chris Cooper, Dermot Mulroney, Benedict Cumberbatch, Misty Upham, Sam Shepard, Will Coffey, Newell Alexander, Jerry Stahl","Comedy, Drama",2013-12-26,25000000
76600,Avatar: The Way of Water,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Kate Winslet, Cliff Curtis, Joel David Moore, CCH Pounder, Edie Falco, Jemaine Clement, Giovanni Ribisi, Britain Dalton, Jamie Flatters, Trinity Jo-Li Bliss, Jack Champion","Action, Adventure, Science Fiction",2022-12-14,350000000
346698,Barbie,Greta Gerwig,"Margot Robbie, Ryan Gosling, America Ferrera, Ariana Greenblatt, Issa Rae, Kate McKinnon, Alexandra Shipp, Emma Mackey, Hari Nef, Sharon Rooney, Ana Cruz Kayne, Ritu Arya, Dua Lipa, Nicola Coughlan, Emerald Fennell","Comedy, Adventure",2023-07-19,145000000
84175,Beasts of the Southern Wild,Benh Zeitlin,"Quvenzhané Wallis, Dwight Henry, Levy Easterly, Gina Montana, Lowell Landes, Pamela Harper, Amber Henry, Jonshel Alexander, Nicholas Clark, Joseph Brown, Henry D. Coleman, Kaliana Brower, Phillip Lawrence, Hannah Holby, Jimmy Lee Moore","Drama, Fantasy",2012-06-29,1800000
55347,Beginners,Mike Mills,"Ewan McGregor, Christopher Plummer, Mélanie Laurent, Goran Višnjić, Kai Lennox, Mary Page Keller, Keegan Boos, China Shavers, Melissa Tang, Amanda Payton, Luke Diliberto, Lou Taylor Pucci, Jennifer Lauren Grant, Reynaldo Pacheco, Jodi Long","Drama, Romance, Comedy",2011-06-03,3200000
517088,Being the Ricardos,Aaron Sorkin,"Nicole Kidman, Javier Bardem, J.K. Simmons, Nina Arianda, Tony Hale, Alia Shawkat, Jake Lacy, Linda Lavin, Ronny Cox, John Rubinstein, Clark Gregg, Nelson Franklin, Jeff Holman, Jonah Platt, Christopher Denham","Drama, History",2021-12-10,0
777270,Belfast,Kenneth Branagh,"Jude Hill, Jamie Dornan, Caitríona Balfe, Lewis McAskie, Judi Dench, Ciarán Hinds, Lara McDonnell, Colin Morgan, Gerard Horan, Josie Walker, Olive Tennant, Michael Maloney, Turlough Convery, Conor MacNeill, Chris McCurry","Drama, History",2021-11-12,11000000
194662,Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,"Michael Keaton, Emma Stone, Zach Galifianakis, Edward Norton, Andrea Riseborough, Naomi Watts, Amy Ryan, Lindsay Duncan, Merritt Wever, Jeremy Shamos, Damian Young, Kenny Chin, Jamahl Garrison-Lowe, Katherine O'Sullivan, Keenan Shimizu","Drama, Comedy",2014-10-17,18000000
45958,Biutiful,Alejandro González Iñárritu,"Javier Bardem, Maricel Álvarez, Hanaa Bouchaib, Guillermo Estrella, Eduard Fernández, Cheikh Ndiaye, Diaryatou Daff, Cheng Taishen, Luo Jin, George Chibuikwem Chukwuma, Lang Sofia Lin, Yodian Yang, Tuo Lin, Xueheng Chen, Xiaoyan Zhang",Drama,2010-10-20,0
284054,Black Panther,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee","Action, Adventure, Science Fiction",2018-02-13,200000000
505642,Black Panther: Wakanda Forever,Ryan Coogler,"Letitia Wright, Tenoch Huerta Mejía, Lupita Nyong'o, Danai Gurira, Winston Duke, Angela Bassett, Martin Freeman, Julia Louis-Dreyfus, Dominique Thorne, Florence Kasumba, Michaela Coel, Alex Livinalli, Mabel Cadena, Michael B. Jordan, Isaach de Bankolé","Action, Adventure, Science Fiction",2022-11-09,250000000
44214,Black Swan,Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey, Winona Ryder, Benjamin Millepied, Ksenia Solo, Kristina Anapau, Janet Montgomery, Sebastian Stan, Toby Hemingway, Sergio Torrado, Mark Margolis, Tina Sloan, Abraham Aronofsky","Drama, Thriller, Horror",2010-12-03,13000000
487558,BlacKkKlansman,Spike Lee,"John David Washington, Adam Driver, Topher Grace, Laura Harrier, Alec Baldwin, Jasper Pääkkönen, Corey Hawkins, Paul Walter Hauser, Ryan Eggold, Isiah Whitlock Jr., Robert John Burke, Brian Tarantina, Arthur J. Nascarella, Ken Garito, Frederick Weller","Crime, Comedy, Drama, History",2018-08-09,15000000
301502,Blonde,Andrew Dominik,"Ana de Armas, Adrien Brody, Bobby Cannavale, Sara Paxton, Lucy DeVito, Julianne Nicholson, Scoot McNairy, Xavier Samuel, Caspar Phillipson, Evan Williams, Rebecca Wisocky, Toby Huss, Catherine Dent, Haley Webb, Dan Butler",Drama,2022-09-16,22000000
160588,Blue Jasmine,Woody Allen,"Cate Blanchett, Sally Hawkins, Alec Baldwin, Peter Sarsgaard, Bobby Cannavale, Andrew Dice Clay, Louis C.K., Michael Stuhlbarg, Alden Ehrenreich, Joy Carlin, Richard Conti, Glen Caspillo, Charlie Tahan, Annie McNamara, Daniel Jenks",Drama,2013-08-01,18000000
46705,Blue Valentine,Derek Cianfrance,"Ryan Gosling, Michelle Williams, John Doman, Mike Vogel, Ben Shenkman, Jen Jones, Maryann Plunkett, Faith Wladyka, Marshall Johnson, James Benatti, Barbara Troy, Carey Westbrook, Eileen Rosen, Enid Graham, Ashley Gurnari","Drama, Romance",2010-12-26,1000000
424694,Bohemian Rhapsody,Bryan Singer,"Rami Malek, Gwilym Lee, Ben Hardy, Joseph Mazzello, Lucy Boynton, Aidan Gillen, Allen Leech, Tom Hollander, Mike Myers, Aaron McCusker, Meneka Das, Ace Bhatti, Priya Blackburn, Max Bennett, Dermot Murphy","Music, Drama",2018-10-24,52000000
525661,Bombshell,Jay Roach,"Charlize Theron, Margot Robbie, Nicole Kidman, John Lithgow, Allison Janney, Malcolm McDowell, Kate McKinnon, Connie Britton, Liv Hewson, Jack Haven, Rob Delaney, Mark Duplass, Stephen Root, Robin Weigert, Amy Landecker",Drama,2019-12-13,32000000
740985,Borat Subsequent Moviefilm,Jason Woliner,"Sacha Baron Cohen, Maria Bakalova, Tom Hanks, Dani Popescu, Manuel Vieru, Miroslav Tolj, Alin Popa, Ion Gheorghe, Nicolae Gheorghe, Marcela Codrea, Luca Nelu, Judith Dim Evans, Mike Pence, Rudolph Giuliani, Chase Fein",Comedy,2020-10-23,0
85350,Boyhood,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Ethan Hawke, Lorelei Linklater, Libby Villari, Marco Perella, Brad Hawkins, Jamie Howard, Andrew Villarreal, Jenni Tooley, Zoe Graham, Charlie Sexton, Elijah Smith, Steven Chester Prince, Bonnie Cross",Drama,2014-06-05,4000000
55721,Bridesmaids,Paul Feig,"Kristen Wiig, Maya Rudolph, Rose Byrne, Chris O'Dowd, Melissa McCarthy, Wendi McLendon-Covey, Ellie Kemper, Jill Clayburgh, Matt Lucas, Rebel Wilson, Michael Hitchcock, Terry Crews, Tom Yi, Elaine Kao, Kali Hawk","Comedy, Romance",2011-05-13,32500000
296098,Bridge of Spies,Steven Spielberg,"Tom Hanks, Mark Rylance, Amy Ryan, Alan Alda, Sebastian Koch, Austin Stowell, Billy Magnussen, Michael Simon Hall, Edward James Hyland, Stephen Kunken, Mike Houston, James Lorinz, Michael Power, Joe Starr, Merab Ninidze","Thriller, Drama",2015-10-15,40000000
167073,Brooklyn,John Crowley,"Saoirse Ronan, Domhnall Gleeson, Emory Cohen, Jim Broadbent, Julie Walters, Jessica Paré, Eve Macklin, Brid Brennan, Fiona Glascott, Jane Brennan, Nora-Jane Noone, Jenn Murray, Eva Birthistle, Michael Zegen, Matt Glynn","Romance, Drama, History",2015-10-20,11000000
398818,Call Me by Your Name,Luca Guadagnino,"Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar, Esther Garrel, Victoire du Bois, Vanda Capriolo, Antonio Rimoldi, Elena Bucci, Marco Sgrosso, André Aciman, Peter Spears","Romance, Drama",2017-10-01,3500000
401847,Can You Ever Forgive Me?,Marielle Heller,"Melissa McCarthy, Richard E. Grant, Dolly Wells, Ben Falcone, Gregory Korostishevsky, Jane Curtin, Stephen Spinella, Christian Navarro, Pun Bandhu, Erik LaRay Harvey, Brandon Scott Jones, Shae D'Lyn, Rosal Colon, Anna Deavere Smith, Marc Evan Jackson","Drama, Crime, Comedy",2018-10-19,0
334533,Captain Fantastic,Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler, Annalise Basso, Nicholas Hamilton, Shree Crooks, Charlie Shotwell, Trin Miller, Frank Langella, Ann Dowd, Steve Zahn, Kathryn Hahn, Elijah Stevenson, Teddy Van Ee, Erin Moriarty","Adventure, Drama",2016-07-08,5000000
109424,Captain Phillips,Paul Greengrass,"Tom Hanks, Barkhad Abdi, Barkhad Abdirahman, Faysal  Ahmed, Mahat M. Ali, Michael Chernus, David Warshofsky, Corey Johnson, Chris Mulkey, Yul Vazquez, Max Martini, Catherine Keener, Omar Berdouni, Mohamed Ali, Issak Farah Samatar","Action, Drama, Thriller",2013-10-10,55000000
258480,Carol,Todd Haynes,"Cate Blanchett, Rooney Mara, Kyle Chandler, Jake Lacy, Sarah Paulson, John Magaro, Cory Michael Smith, Kevin Crowley, Nik Pajic, Carrie Brownstein, Trent Rowland, Sadie Heim, Kk Heim, Amy Warner, Michael Haney","Romance, Drama",2015-11-20,11800000
595586,Causeway,Lila Neugebauer,"Jennifer Lawrence, Brian Tyree Henry, Linda Emond, Jayne Houdyshell, Stephen McKinley Henderson, Russell Harvard, Sean Carvajal, Frederick Weller, Will Pullen, Neal Huff, Danny Wolohan, Han Soto, Natalie Pilie, Suzette Stuebben",Drama,2022-10-28,0
776503,CODA,Sian Heder,"Emilia Jones, Marlee Matlin, Troy Kotsur, Eugenio Derbez, Ferdia Walsh-Peelo, Daniel Durant, Amy Forsyth, Kevin Chapman, John Fiore, Lonnie Farmer, Courtland Jones, Molly B. Thomas, Ayana Brown, Jason Pugatch, Kyana Fanene","Drama, Music, Romance",2021-08-13,10000000
440298,Cold War,Paweł Pawlikowski,"Joanna Kulig, Tomasz Kot, Borys Szyc, Agata Kulesza, Cédric Kahn, Jeanne Balibar, Adam Woronowicz, Adam Ferency, Adam Szyszkowski, Dražen Šivak, Slavko Sobin, Aloïse Sauvage","Romance, Music, Drama",2018-06-08,4954500
974576,Conclave,Edward Berger,"Ralph Fiennes, Stanley Tucci, John Lithgow, Isabella Rossellini, Lucian Msamati, Carlos Diehz, Sergio Castellitto, Brían F. O'Byrne, Merab Ninidze, Thomas Loibl, Jacek Koman, Bruno Novelli, Rony Kramer, Valerio Da Silva, Joseph Mydell","Drama, Thriller",2024-10-25,20000000
312221,Creed,Ryan Coogler,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashād, Andre Ward, Tony Bellew, Ritchie Coster, Jacob 'Stitch' Duran, Graham McTavish, Malik Bazille, Ricardo 'Padman' McGill, Gabriel Rosado, Wood Harris, Buddy Osborn, Rupal Pujara",Drama,2015-11-25,37000000
152532,Dallas Buyers Club,Jean-Marc Vallée,"Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare, Steve Zahn, Michael O'Neill, Dallas Roberts, Griffin Dunne, Kevin Rankin, Donna DuPlantier, Deneen Tyler, J.D. Evermore, Ian Casselberry, Noelle Wilcox, Bradford Cox","Drama, History",2013-11-01,5000000
399404,Darkest Hour,Joe Wright,"Gary Oldman, Stephen Dillane, Lily James, Ronald Pickup, Ben Mendelsohn, Kristin Scott Thomas, Nicholas Jones, Samuel West, David Schofield, Richard Lumsden, Malcolm Storry, Hilton McRae, Benjamin Whitrow, Joe Armstrong, Adrian Rawlins","Drama, History",2017-11-22,30000000
68718,Django Unchained,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar, David Steen, Dana Gourrier, Nichole Galicia, Laura Cayouette, Ato Essandoh, Sammi Rotibi, Clay Donahue Fontenot","Drama, Western",2012-12-25,100000000
646380,Don't Look Up,Adam McKay,"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett, Rob Morgan, Jonah Hill, Mark Rylance, Tyler Perry, Timothée Chalamet, Ron Perlman, Ariana Grande, Kid Cudi, Himesh Patel, Melanie Lynskey, Michael Chiklis","Comedy, Science Fiction, Drama",2021-12-08,75000000
758866,Drive My Car,Ryusuke Hamaguchi,"Hidetoshi Nishijima, Toko Miura, Masaki Okada, Reika Kirishima, Park Yu-rim, Jin Dae-yeon, Sonia Yuan, Ahn Hwi-tae, Perry Dizon, Satoko Abe, Hiroko Matsuda, Toshiaki Inomata, Takako Yamamura, Ryo Iwase, Faisal Anwar",Drama,2021-08-18,1300000
438631,Dune,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Oscar Isaac, Jason Momoa, Stellan Skarsgård, Stephen McKinley Henderson, Josh Brolin, Javier Bardem, Sharon Duncan-Brewster, Chang Chen, Dave Bautista, David Dastmalchian, Zendaya, Charlotte Rampling, Babs Olusanmokun","Science Fiction, Adventure",2021-09-15,165000000
693134,Dune: Part Two,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem, Josh Brolin, Austin Butler, Florence Pugh, Dave Bautista, Christopher Walken, Léa Seydoux, Stellan Skarsgård, Charlotte Rampling, Souheila Yacoub, Roger Yuan, Babs Olusanmokun","Science Fiction, Adventure",2024-02-27,190000000
374720,Dunkirk,Christopher Nolan,"Fionn Whitehead, Tom Hardy, Mark Rylance, Kenneth Branagh, Cillian Murphy, Barry Keoghan, Harry Styles, Aneurin Barnard, Damien Bonnard, Lee Armstrong, James Bloor, Tom Glynn-Carney, Jack Lowden, Luke Thompson, Michel Biel","War, Action, Drama",2017-07-19,150000000
337674,Elle,Paul Verhoeven,"Isabelle Huppert, Laurent Lafitte, Anne Consigny, Charles Berling, Virginie Efira, Judith Magre, Christian Berkel, Jonas Bloquet, Alice Isaaz, Vimala Pons, Raphaël Lenglet, Arthur Mazet, Lucas Prisor, Hugo Conzelmann, Stéphane Bak","Drama, Thriller",2016-05-25,9800000
614934,Elvis,Baz Luhrmann,"Austin Butler, Tom Hanks, Olivia DeJonge, Helen Thomson, Richard Roxburgh, Kelvin Harrison Jr., David Wenham, Kodi Smit-McPhee, Luke Bracey, Dacre Montgomery, Leon Ford, Gary Clark Jr., Yola, Natasha Bassett, Xavier Samuel","Drama, Music, History",2022-06-22,85000000
974950,Emilia Pérez,Jacques Audiard,"Zoe Saldaña, Karla Sofía Gascón, Selena Gomez, Adriana Paz, Edgar Ramírez, Mark Ivanir, Eduardo Aladro, Emiliano Hasan, Gaël Murguia-Fur, Tirso Pietriga, Xiomara Ahumada Quito, Magali Brito, Jarib dit Javier Zagoya Montiel, Sébastien Fruit, Alejandra Reyes","Drama, Thriller",2024-08-21,26000000
545611,Everything Everywhere All at Once,"Daniel Scheinert, Daniel Kwan","Michelle Yeoh, Stephanie Hsu, Ke Huy Quan, James Hong, Jamie Lee Curtis, Tallie Medel, Jenny Slate, Harry Shum Jr., Biff Wiff, Sunita Mani, Aaron Lazar, Brian Le, Andy Le, Narayana Cabral, Chelsey Goldsmith","Action, Adventure, Science Fiction",2022-03-24,25000000
64685,Extremely Loud & Incredibly Close,Stephen Daldry,"Tom Hanks, Sandra Bullock, Thomas Horn, Viola Davis, John Goodman, Jeffrey Wright, Zoe Caldwell, Max von Sydow, Dennis Hearn, Paul Klementowicz, Julian Tepper, Caleb Reynolds, Stephen McKinley Henderson, Lorna Guity Pruce, Hazelle Goodman",Drama,2011-12-25,40000000
393457,Fences,Denzel Washington,"Denzel Washington, Viola Davis, Stephen McKinley Henderson, Jovan Adepo, Russell Hornsby, Mykelti Williamson, Saniyya Sidney, Lesley Boone, Christopher Mele, Jason Silvis, Tra'Waan Coles, Joe Fishel, Cara Clark, Daniel James",Drama,2016-12-16,24000000
87502,Flight,Robert Zemeckis,"Denzel Washington, Don Cheadle, Kelly Reilly, John Goodman, Bruce Greenwood, Brian Geraghty, Tamara Tunie, Nadine Velazquez, Peter Gerety, Garcelle Beauvais, Melissa Leo, Carter Cabassa, Adam C. Edwards, Conor O'Neill, Charlie E. Schmidt",Drama,2012-02-22,31000000
315664,Florence Foster Jenkins,Stephen Frears,"Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson, Nina Arianda, Stanley Townsend, Allan Corduner, Christian McKay, David Haig, John Sessions, Brid Brennan, John Kavanagh, Pat Starr, Maggie Steed, Thelma Barlow","Comedy, Drama",2016-05-06,29000000
359724,Ford v Ferrari,James Mangold,"Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe, Josh Lucas, Noah Jupe, Tracy Letts, Remo Girone, Ray McKinnon, JJ Feild, Jack McMullen, Corrado Invernizzi, Joe Williamson, Ian Harding, Christopher Darga","Drama, Action, History",2019-11-13,97600000
87492,Foxcatcher,Bennett Miller,"Steve Carell, Channing Tatum, Mark Ruffalo, Sienna Miller, Vanessa Redgrave, Anthony Michael Hall, Guy Boyd, Brett Rice, Jackson Frazer, Samara Lee, Francis J. Murphy III, Jane Mowder, David Bennett, Lee Perkins, Robert Haramia","Drama, Thriller",2014-11-14,24000000
419430,Get Out,Jordan Peele,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford, Caleb Landry Jones, Marcus Henderson, Betty Gabriel, LaKeith Stanfield, Stephen Root, Lil Rel Howery, Ashley LeConte Campbell, John Wilmot, Caren L. Larkey, Julie Ann Doan, Rutherford Cravens","Mystery, Thriller, Horror",2017-02-24,4500000
210577,Gone Girl,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry, Carrie Coon, Kim Dickens, Patrick Fugit, David Clennon, Lisa Banes, Missi Pyle, Emily Ratajkowski, Casey Wilson, Lola Kirke, Boyd Holbrook, Sela Ward","Mystery, Thriller, Drama",2014-10-01,61000000
49047,Gravity,Alfonso Cuarón,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen, Phaldut Sharma, Amy Warren, Basher Savage","Science Fiction, Thriller, Drama",2013-10-03,105000000
490132,Green Book,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco, Dimiter D. Marinov, Mike Hatton, P.J. Byrne, Joe Cortese, Mary Agnes Nixon, Von Lewis, Jon Sortland, Don Stark, Anthony Mangano, Paul Sloan, Quinn Duffy","Drama, Comedy, History",2018-11-16,23000000
324786,Hacksaw Ridge,Mel Gibson,"Andrew Garfield, Sam Worthington, Vince Vaughn, Teresa Palmer, Luke Bracey, Hugo Weaving, Rachel Griffiths, Ryan Corr, Richard Roxburgh, Goran D. Kleut, Luke Pegler, Firass Dirani, Michael Sheasby, Nathaniel Buzolic, Ori Pfeffer","Drama, History, War",2016-10-07,40000000
